iter	Passed	Remaining
1251	5304	7405
1252	5308	7400
1253	5311	7395
1254	5315	7390
1255	5319	7385
1256	5323	7381
1257	5326	7375
1258	5329	7369
1259	5332	7363
1260	5336	7358
1261	5340	7354
1262	5347	7353
1263	5353	7352
1264	5359	7350
1265	5364	7347
1266	5369	7343
1267	5374	7340
1268	5379	7338
1269	5383	7333
1270	5388	7329
1271	5392	7326
1272	5400	7325
1273	5405	7323
1274	5412	7322
1275	5419	7322
1276	5427	7322
1277	5434	7321
1278	5443	7324
1279	5450	7323
1280	5455	7320
1281	5460	7317
1282	5464	7313
1283	5471	7311
1284	5475	7307
1285	5480	7303
1286	5483	7298
1287	5489	7296
1288	5494	7293
1289	5498	7289
1290	5511	7296
1291	5519	7296
1292	5524	7293
1293	5529	7290
1294	5535	7287
1295	5540	7285
1296	5545	7281
1297	5549	7276
1298	5553	7272
1299	5557	7267
1300	5560	7261
1301	5564	7256
1302	5567	7250
1303	5581	7259
1304	5587	7257
1305	5591	7253
1306	5596	7249
1307	5599	7243
1308	5604	7240
1309	5609	7236
1310	5613	7231
1311	5617	7227
1312	5622	7224
1313	5627	7220
1314	5631	7216
1315	5635	7211
1316	5641	7209
1317	5645	7204
1318	5649	7199
1319	5656	7199
1320	5662	7196
1321	5668	7194
1322	5672	7190
1323	5675	7184
1324	5679	7179
1325	5683	7174
1326	5686	7169
1327	5691	7165
1328	5696	7162
1329	5700	7157
1330	5704	7152
1331	5708	7148
1332	5712	7144
1333	5717	7140
1334	5721	7135
1335	5726	7132
1336	5730	7128
1337	5734	7123
1338	5738	7118
1339	5742	7114
1340	5746	7109
1341	5749	7103
1342	5757	7103
1343	5763	7101
1344	5768	7098
1345	5773	7094
1346	5778	7091
1347	5781	7085
1348	5785	7080
1349	5789	7076
1350	5794	7072
1351	5799	7068
1352	5804	7066
1353	5808	7061
1354	5813	7057
1355	5818	7054
1356	5822	7049
1357	5826	7045
1358	5830	7040
1359	5834	7035
1360	5837	7030
1361	5842	7026
1362	5845	7020
1363	5850	7017
1364	5854	7012
1365	5860	7009
1366	5865	7007
1367	5870	7003
1368	5874	6999
1369	5878	6994
1370	5883	6991
1371	5888	6986
1372	5893	6984
1373	5899	6981
1374	5903	6977
1375	5907	6972
1376	5912	6968
